ENDF-6 File: /g/g19/walsh23/data/evaluations/endf-7.1/neutrons/n-092_U_236.endf
Resonance Formalism: SLBW
Contributing s-wave Resonances:          64
Contributing p-wave Resonances:          64
Contributing d-wave Resonances:          64
Contributing f-wave Resonances:          64
Model Competitive Reaction Resonance Structure: T
Parameter Energy Dependence: Neutron
Faddeeva Evaluation: QUICKW
Target Relative Tolerance on Average Partial Cross Sections:  5.0000000000000001E-03
Energies:          64
             Energy [eV]               Total [b]             Elastic [b]             Capture [b]             Fission [b]         Competitive [b]
  1.5000000000000000E+03  2.2987609408180116E+01  2.0928989651509163E+01  2.0249040214740615E+00  3.3715735196861919E-02  0.0000000000000000E+00
  1.6034011525958836E+03  2.2455004446609333E+01  2.0483422640024351E+01  1.9393158471486818E+00  3.2265959436322489E-02  0.0000000000000000E+00
  1.7139301707638724E+03  2.2034610674712329E+01  2.0151184591530733E+01  1.8515608073682319E+00  3.1865275813319160E-02  0.0000000000000000E+00
  1.8320784075144354E+03  2.1671836521301277E+01  1.9872548208674360E+01  1.7699107127475229E+00  2.9377599879365814E-02  0.0000000000000000E+00
  1.9583710868364510E+03  2.1584931039663527E+01  1.9829670257444835E+01  1.7261957475346787E+00  2.9065034684048283E-02  0.0000000000000000E+00
  2.0933696385626795E+03  2.1064260982359624E+01  1.9376265628715551E+01  1.6604319435312638E+00  2.7563410112830096E-02  0.0000000000000000E+00
  2.2376741941870864E+03  2.0807682043472923E+01  1.9172357177416860E+01  1.6085522555153655E+00  2.6772610540700698E-02  0.0000000000000000E+00
  2.3919262547290932E+03  2.0582342716368412E+01  1.9014440040578894E+01  1.5423915084496016E+00  2.5511167339915781E-02  0.0000000000000000E+00
  2.5568115425046558E+03  2.0290183335584761E+01  1.8764175066238078E+01  1.5013657121202915E+00  2.4642557226401466E-02  0.0000000000000000E+00
  2.7330630494816164E+03  1.9823732865471364E+01  1.8360692846925787E+01  1.4392304121452768E+00  2.3809606400293306E-02  0.0000000000000000E+00
  2.9214642957706960E+03  1.9686740038230372E+01  1.8272555057070086E+01  1.3912681260665998E+00  2.2916855093729354E-02  0.0000000000000000E+00
  3.1228528127376376E+03  1.9398613999425052E+01  1.8028164015267269E+01  1.3486785254109932E+00  2.1771458746772301E-02  0.0000000000000000E+00
  3.3381238662205506E+03  1.9028011668692315E+01  1.7696057018477738E+01  1.3107532628239238E+00  2.1201387390643377E-02  0.0000000000000000E+00
  3.5682344364039059E+03  1.8848403803867981E+01  1.7558248761804904E+01  1.2695932403102612E+00  2.0561801752832291E-02  0.0000000000000000E+00
  3.8142074720415644E+03  1.8749678219532591E+01  1.7475968614060029E+01  1.2533434197962785E+00  2.0366185676305677E-02  0.0000000000000000E+00
  4.0771364379408510E+03  1.8466785199919510E+01  1.7243269453336421E+01  1.2043189563200993E+00  1.9196790262994264E-02  0.0000000000000000E+00
  4.3581901759233579E+03  1.8298442950130564E+01  1.7099684718922212E+01  1.1798753102070167E+00  1.8882921001345934E-02  0.0000000000000000E+00
