ENDF-6 File: ../../data/evaluated/endfb71/neutrons/n-092_U_238.endf
Resonance Formalism: SLBW
Contributing s-wave Resonances:          64
Contributing p-wave Resonances:          64
Contributing d-wave Resonances:          64
Contributing f-wave Resonances:          64
Model Competitive Reaction Resonance Structure: T
Parameter Energy Dependence: Neutron
Faddeeva Evaluation: QUICKW
Target Relative Tolerance on Average Partial Cross Sections:  1.0000000000000000E-03
Energies:          32
             Energy [eV]               Total [b]             Elastic [b]             Capture [b]             Fission [b]         Competitive [b]
  2.0000000000000000E+04  1.4327047274873241E+01  1.3797005587928055E+01  5.3004168694517839E-01  0.0000000000000000E+00  0.0000000000000000E+00
  2.1338641965885789E+04  1.4226912659514182E+01  1.3712643614424838E+01  5.1426904508934201E-01  0.0000000000000000E+00  0.0000000000000000E+00
  2.2766882047413106E+04  1.4145973127401486E+01  1.3646355400717905E+01  4.9961772668357135E-01  0.0000000000000000E+00  0.0000000000000000E+00
  2.4290717234465053E+04  1.4071835091813156E+01  1.3588497212491975E+01  4.8333787932120353E-01  0.0000000000000000E+00  0.0000000000000000E+00
  2.5916545908041058E+04  1.3984475723677129E+01  1.3515794479015719E+01  4.6868124466142047E-01  0.0000000000000000E+00  0.0000000000000000E+00
  2.7651194706206526E+04  1.3900518445275338E+01  1.3446906774047783E+01  4.5361167122755108E-01  0.0000000000000000E+00  0.0000000000000000E+00
  2.9501947188236874E+04  1.3820208944917342E+01  1.3379851530260352E+01  4.4035741465698980E-01  0.0000000000000000E+00  0.0000000000000000E+00
  3.1476574417312884E+04  1.3764363221787985E+01  1.3336285195860551E+01  4.2807802592742489E-01  0.0000000000000000E+00  0.0000000000000000E+00
  3.3583367590179987E+04  1.3689039368291237E+01  1.3274427610063968E+01  4.1461175822726704E-01  0.0000000000000000E+00  0.0000000000000000E+00
  3.5831172850779163E+04  1.3600613769219089E+01  1.3199128172580233E+01  4.0148559663884059E-01  0.0000000000000000E+00  0.0000000000000000E+00
  3.8229428434027192E+04  1.3534891860601332E+01  1.3144794478867619E+01  3.9009738173371850E-01  0.0000000000000000E+00  0.0000000000000000E+00
  4.0788204295708005E+04  1.3466623830395038E+01  1.3087895449299076E+01  3.7872838109596690E-01  0.0000000000000000E+00  0.0000000000000000E+00
  4.3518244394875888E+04  1.3395327727306546E+01  1.3027402112788559E+01  3.6792561451803102E-01  0.0000000000000000E+00  0.0000000000000000E+00
  4.6431011806308627E+04  1.3318571400055456E+01  1.2960108646539222E+01  3.5846275351627066E-01  0.0000000000000000E+00  0.0000000000000000E+00
  4.9538736852431794E+04  1.3250790385500801E+01  1.2902911632693328E+01  3.4787875280746877E-01  0.0000000000000000E+00  0.0000000000000000E+00
  5.2854468456813695E+04  1.3191335706696286E+01  1.2793287694335275E+01  3.0217482917748373E-01  0.0000000000000000E+00  9.5873183183535007E-02
  5.6392128934857574E+04  1.3124199995398609E+01  1.2697546241437115E+01  2.8125727978562048E-01  0.0000000000000000E+00  1.4539647417589432E-01
  6.0166572451749707E+04  1.3064721817333595E+01  1.2607273285667342E+01  2.6322108603524580E-01  0.0000000000000000E+00  1.9422744563100555E-01
  6.4193647393120693E+04  1.2999812245470832E+01  1.2516341937433040E+01  2.4832558614663441E-01  0.0000000000000000E+00  2.3514472189116400E-01
  6.8490262910306003E+04  1.2938257567082159E+01  1.2421621710352232E+01  2.3362682696515091E-01  0.0000000000000000E+00  2.8300902976475284E-01
  7.3074459919620334E+04  1.2873034878746436E+01  1.2325850269038225E+01  2.2045417301883735E-01  0.0000000000000000E+00  3.2673043668935992E-01
  7.7965486853762472E+04  1.2807823875911563E+01  1.2230142923858081E+01  2.0871466623907525E-01  0.0000000000000000E+00  3.6896628581443536E-01
  8.3183880483420653E+04  1.2740644025813983E+01  1.2131848752284652E+01  1.9813896858349342E-01  0.0000000000000000E+00  4.1065630494585326E-01
  8.8751552148437375E+04  1.2679744199427086E+01  1.2040387075858341E+01  1.8888648042517051E-01  0.0000000000000000E+00  4.5047064314358876E-01
  9.4691879760607320E+04  1.2605898660311468E+01  1.1937955226346197E+01  1.8017647354118438E-01  0.0000000000000000E+00  4.8776696042410039E-01
  1.0102980596441537E+05  1.2535402520316950E+01  1.1837602350493272E+01  1.7279426144948609E-01  0.0000000000000000E+00  5.2500590837419014E-01
  1.0779194286787858E+05  1.2467648681888274E+01  1.1741146323963559E+01  1.6653998134075804E-01  0.0000000000000000E+00  5.5996237658395809E-01
  1.1500668378324386E+05  1.2404356238609687E+01  1.1649781061185861E+01  1.6029344057415054E-01  0.0000000000000000E+00  5.9428173684968133E-01
  1.2270432244672421E+05  1.2317613744363751E+01  1.1535908051570742E+01  1.5476088686163875E-01  0.0000000000000000E+00  6.2694480593135882E-01
  1.3091718021786251E+05  1.2260171730250113E+01  1.1449347997780412E+01  1.5024905626025392E-01  0.0000000000000000E+00  6.6057467620946420E-01
  1.3967974179261568E+05  1.2186045703713221E+01  1.1348076709021269E+01  1.4597760129736387E-01  0.0000000000000000E+00  6.9199139339455940E-01
  1.4902880000000005E+05  1.2111291753186094E+01  1.1246310970139975E+01  1.4241676372805354E-01  0.0000000000000000E+00  7.2256401931809122E-01
         Max 1sigma/Mean  9.4426312743829525E-04  9.5279112576571634E-04  1.7040464254946066E-03  0.0000000000000000E+00  1.8570127206346001E-03
